Product Name,Price,Stock,Product URL,Product Image URL,Date,Store Name
Placa video GIGABYTE GeForce RTX 4060 EAGLE OC 8GB GDDR6 128-bit,"1.729,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4060-eagle-oc-8gb-gddr6-128-bit-4102245.html,https://static3.evomag.ro/img?file=products%2F4102%2F4102245%2Fplaca-video-gigabyte-geforce-r-649d7ca3a6ebe.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS GeForce RTX 3060 DUAL OC V2 12GB GDDR6 192-bit,"1.614,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-geforce-rtx-3060-dual-oc-v2-12gb-gddr6-192-bit-3817073.html,https://static3.evomag.ro/img?file=products%2F3817%2F3817073%2Fplaca-video-asus-geforce-rtx-3-60bf4d34411d9.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 3060 WINDFORCE OC 12GB GDDR6 192-bit,"1.579,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-3060-windforce-oc-12gb-gddr6-192-bit-4084697.html,https://static3.evomag.ro/img?file=products%2F4084%2F4084697%2Fplaca-video-gigabyte-geforce-r-63a2bae52e129.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 4070  EAGLE OC 12GB GDDR6X 192-bit,"3.329,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-4070-eagle-oc-12gb-gddr6x-192-bit-4087940.html,https://static3.evomag.ro/img?file=products%2F4087%2F4087940%2Fplaca-video-gigabyte-geforce-r-6437f4f9251e3.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video Sapphire Radeon RX 6700 XT PULSE 12GB GDDR6 1‎92-bit,"2.278,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/sapphire-placa-video-sapphire-radeon-rx-6700-xt-pulse-12gb-gddr6-1-92-bit-3832472.html,https://static3.evomag.ro/img?file=products%2F3832%2F3832472%2Fplaca-video-sapphire-radeon-rx-618b9607bb477.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS GeForce RTX 4070 DUAL OC 12GB GDDR6X 192-bit,"3.520,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-geforce-rtx-4070-dual-oc-12gb-gddr6x-192-bit-4087946.html,https://static3.evomag.ro/img?file=products%2F4087%2F4087946%2Fplaca-video-asus-geforce-rtx-4-6437fa29c6b4b.PNG&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS GeForce RTX 4060 Ti DUAL OC 8GB GDDR6 128-bit,"2.199,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-geforce-rtx-4060-ti-dual-oc-8gb-gddr6-128-bit-4096847.html,https://static3.evomag.ro/img?file=products%2F4096%2F4096847%2Fplaca-video-asus-geforce-rtx-4-646f2fcabab21.PNG&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video MSI Radeon RX 6600 Mech 2X  8GB GDDR6 128-bit,"1.199,99 Lei",Stoc epuizat,https://www.evomag.ro/componente-pc-gaming-placi-video/msi-placa-video-msi-radeon-rx-6600-mech-2x-8gb-gddr6-128-bit-3832434.html,https://static3.evomag.ro/img?file=products%2F3832%2F3832434%2Fplaca-video-msi-radeon-rx-6600-618b7d94059d2.png&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video GIGABYTE GeForce RTX 3070 GAMING OC Rev 2.0 LHR 8GB GDDR6 256-bit,"2.699,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/gigabyte-placa-video-gigabyte-geforce-rtx-3070-gaming-oc-rev-2.0-lhr-8gb-gddr6-256-bit-3823900.html,https://static3.evomag.ro/img?file=products%2F3823%2F3823900%2F1603724940Placa+video+GIGABYTE+GeForce+RTX+3070+GAMING+OC+8GB+GDDR6+256-bit.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
Placa video ASUS GeForce RTX 4070 Ti TUF GAMING OC 12GB GDDR6X 192-bit DLSS 3.0,"5.199,99 Lei",In stoc magazin,https://www.evomag.ro/componente-pc-gaming-placi-video/asus-placa-video-asus-geforce-rtx-4070-ti-tuf-gaming-oc-12gb-gddr6x-192-bit-dlss-3.0-4073042.html,https://static3.evomag.ro/img?file=products%2F4073%2F4073042%2Fplaca-video-asus-geforce-rtx-4-63bc2aee82b31.jpg&height=600&width=600&extend=white,2024-01-05,evoMAG
